Name,Federation,Gender,Year_of_birth,Title,Standard_Rating,Rapid_rating,Blitz_rating
"Polgar, Judit",HUN,F,1976.0,GM,2675,2646.0,2736.0
"Hou, Yifan",CHN,F,1994.0,GM,2658,2621.0,2601.0
"Koneru, Humpy",IND,F,1987.0,GM,2586,2483.0,2483.0
"Goryachkina, Aleksandra",RUS,F,1998.0,GM,2582,2502.0,2441.0
"Polgar, Susan",HUN,F,1969.0,GM,2577,,
"Xie, Jun",CHN,F,1970.0,GM,2574,,
"Ju, Wenjun",CHN,F,1991.0,GM,2560,2610.0,2536.0
"Lagno, Kateryna",RUS,F,1989.0,GM,2546,2521.0,2608.0
"Muzychuk, Mariya",UKR,F,1992.0,GM,2544,2506.0,2326.0
"Cmilyte, Viktorija",LTU,F,1983.0,GM,2538,2394.0,2435.0
"Muzychuk, Anna",UKR,F,1990.0,GM,2535,2533.0,2505.0
"Dzagnidze, Nana",GEO,F,1987.0,GM,2524,2447.0,2391.0
"Harika, Dronavalli",IND,F,1991.0,GM,2515,2450.0,2422.0
"Tan, Zhongyi",CHN,F,1991.0,GM,2510,2501.0,2510.0
"Lei, Tingjie",CHN,F,1997.0,GM,2505,2527.0,2530.0
"Chiburdanidze, Maia",GEO,F,1961.0,GM,2500,2432.0,2437.0
"Saduakassova, Dinara",KAZ,F,1996.0,IM,2500,2412.0,2378.0
"Kashlinskaya, Alina",RUS,F,1993.0,IM,2494,2384.0,2364.0
"Khademalsharieh, Sarasadat",IRI,F,1997.0,IM,2494,2393.0,2431.0
"Ruan, Lufei",CHN,F,1987.0,WGM,2491,,
"Zhao, Xue",CHN,F,1985.0,GM,2486,2442.0,2407.0
"Wang, Lei",CHN,F,1975.0,WGM,2484,,
"Kosintseva, Nadezhda",RUS,F,1985.0,GM,2483,2516.0,2519.0
"Abdumalik, Zhansaya",KAZ,F,2000.0,IM,2478,2462.0,2409.0
"Ioseliani, Nana",GEO,F,1962.0,IM,2475,,
"Javakhishvili, Lela",GEO,F,1984.0,IM,2475,2383.0,2332.0
"Kosintseva, Tatiana",RUS,F,1986.0,GM,2475,2496.0,2506.0
"Pogonina, Natalija",RUS,F,1985.0,WGM,2475,2499.0,2311.0
"Paehtz, Elisabeth",GER,F,1985.0,IM,2473,2369.0,2396.0
"Kosteniuk, Alexandra",RUS,F,1984.0,GM,2471,2517.0,2521.0
"Girya, Olga",RUS,F,1991.0,WGM,2469,2471.0,2297.0
"Qin, Kanying",CHN,F,1974.0,WGM,2466,,
"Xu, Yuhua",CHN,F,1976.0,GM,2465,,
"Cramling, Pia",SWE,F,1963.0,GM,2464,2396.0,2320.0
"Stefanova, Antoaneta",BUL,F,1979.0,GM,2462,2461.0,2485.0
"Zhu, Jiner",CHN,F,2002.0,WGM,2459,2326.0,2249.0
"Khotenashvili, Bela",GEO,F,1988.0,GM,2458,2413.0,2320.0
"Batsiashvili, Nino",GEO,F,1987.0,GM,2457,2425.0,2278.0
"Shuvalova, Polina",RUS,F,2001.0,WGM,2454,2379.0,2319.0
"Atalik, Ekaterina",TUR,F,1982.0,IM,2450,2419.0,2228.0
"Polgar, Sofia",HUN,F,1974.0,IM,2450,,
"Dembo, Yelena",GRE,F,1983.0,IM,2448,,
"Korbut, Ekaterina",RUS,F,1985.0,IM,2448,,
"Mammadzada, Gunay",AZE,F,2000.0,IM,2443,2280.0,2242.0
