,Name,Pclass,Cabin,Age
0,"Braund, Mr. Owen Harris",3,,22.0
1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",1,C85,38.0
2,"Heikkinen, Miss. Laina",3,,26.0
3,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1,C123,35.0
4,"Allen, Mr. William Henry",3,,35.0
5,"Moran, Mr. James",3,,
6,"McCarthy, Mr. Timothy J",1,E46,54.0
7,"Palsson, Master. Gosta Leonard",3,,2.0
8,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",3,,27.0
9,"Nasser, Mrs. Nicholas (Adele Achem)",2,,14.0
10,"Sandstrom, Miss. Marguerite Rut",3,G6,4.0
11,"Bonnell, Miss. Elizabeth",1,C103,58.0
12,"Saundercock, Mr. William Henry",3,,20.0
13,"Andersson, Mr. Anders Johan",3,,39.0
14,"Vestrom, Miss. Hulda Amanda Adolfina",3,,14.0
15,"Hewlett, Mrs. (Mary D Kingcome) ",2,,55.0
16,"Rice, Master. Eugene",3,,2.0
17,"Williams, Mr. Charles Eugene",2,,
18,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",3,,31.0
19,"Masselmani, Mrs. Fatima",3,,
20,"Fynney, Mr. Joseph J",2,,35.0
21,"Beesley, Mr. Lawrence",2,D56,34.0
22,"McGowan, Miss. Anna ""Annie""",3,,15.0
23,"Sloper, Mr. William Thompson",1,A6,28.0
24,"Palsson, Miss. Torborg Danira",3,,8.0
25,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",3,,38.0
26,"Emir, Mr. Farred Chehab",3,,
27,"Fortune, Mr. Charles Alexander",1,C23 C25 C27,19.0
28,"O'Dwyer, Miss. Ellen ""Nellie""",3,,
29,"Todoroff, Mr. Lalio",3,,
30,"Uruchurtu, Don. Manuel E",1,,40.0
31,"Spencer, Mrs. William Augustus (Marie Eugenie)",1,B78,
32,"Glynn, Miss. Mary Agatha",3,,
33,"Wheadon, Mr. Edward H",2,,66.0
